"ID","year","gender","agegroup","region","population","d_log_CVD_mort_100k","log_CVD_mort_100k","d_CVD_mort_100k","CVD_mort_100k","CVD_deaths","d_log_CVD_costs_100k","log_CVD_costs_100k","d_CVD_costs_100k","CVD_costs_100k","CVD_costs_100k_sq","d_CVD_costs_100k_sq","CVD_costs_sum","d_lag_log_CVD_costs_100k","lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","lag_CVD_costs_100k","lag_CVD_costs_100k_sq","d_lag_CVD_costs_100k_sq","d_log_cancer_mort_100k","log_cancer_mort_100k","d_cancer_mort_100k","cancer_mort_100k","d_log_cancer_costs_100k","log_cancer_costs_100k","d_cancer_costs_100k","cancer_costs_100k","cancer_costs_sum","cancer_deaths","d_lag_log_cancer_costs_100k","lag_log_cancer_costs_100k","d_lag_cancer_costs_100k","lag_cancer_costs_100k"
"42","4","Male","35-39","HH",69136,-0.326521905768045,2.31253542384721,-3.9,10.1,7,-0.211123089069414,14.4769379921686,-455450.40020989,1937556.09523259,3754123622172.94,-1972356465056.94,1339548.782,-0.0189193854391956,14.7864593381413,-50431.2220388683,2640448.47645837,6971968156831.34,-268865394953.262,-0.414681763213088,1.97408102602201,-3.7,7.2,0.102059619197727,14.1093848357079,130169.257171337,1341615.22217079,927539.1,5,0.292701193423483,14.2819164061805,404549.75265693,1594253.89316799
"43","1","Male","40-44","HH",85449,NA,3.15273602236366,NA,23.4,20,NA,14.9129044770528,NA,2996347.11699376,8978096045516.83,NA,2560348.648,NA,14.9532781299891,NA,3119795.86571303,9733126243720.1,NA,NA,2.99071973173045,NA,19.9,NA,14.6772335731399,NA,2367235.96531264,2022779.46,17,NA,14.3730039564281,NA,1746289.75710767
"43","2","Male","40-44","HH",72267,-0.431440594511425,2.72129542785223,-8.2,15.2,11,0.372967901942827,15.2858723789956,1354461.95353635,4350809.07053012,18929539568207.1,9951443522690.31,3144199.191,-0.0536813395239815,14.8995967904651,-163059.051748568,2956736.81396446,8742292587052.7,-990833656667.396,0.278849207453272,3.26956893918372,6.4,26.3,-0.128712549333851,14.548521023806,-285898.985778415,2081336.97953423,1504119.795,19,0.229115004482027,14.6021189609101,449646.294763093,2195936.05187076
"43","3","Male","40-44","HH",63315,0.509508967881244,3.23080439573347,10.1,25.3,16,-0.0253017371791131,15.2605706418165,-108702.053235638,4242107.01729448,17995471946179.1,-934067622028.078,2685890.058,0.539126250550387,15.4387230410155,2112612.57160666,5069349.38557112,25698303192990.3,16956010605937.6,0.519155849899934,3.78872478908365,17.9,44.2,-0.0627966949336827,14.4857243288723,-126681.855156118,1954655.12437811,1237589.892,28,0.265655637359409,14.8677745982695,668192.233018674,2864128.28488943
"43","4","Male","40-44","HH",60870,-0.0280579527951574,3.20274644293832,-0.699999999999999,24.6,15,-0.12251144327492,15.1380591985416,-489132.836252915,3752974.18104156,14084815203564.6,-3910656742614.47,2284435.384,-0.31298695768989,15.1257360833256,-1362339.74293707,3707009.64263405,13741920490581.8,-11956382702408.5,-0.9914434542535,2.79728133483015,-27.8,16.4,0.0937873732689649,14.5795117021413,192193.786415385,2146848.91079349,1306786.932,10,-0.139976780623288,14.7277978176462,-374116.957342338,2490011.3275471
"44","1","Male","45-49","HH",69745,NA,3.69137633431252,NA,40.1,28,NA,15.6941593927521,NA,6544655.97390494,42832521816769.6,NA,4564570.309,NA,15.5996982389337,NA,5954740.83309549,35458938389334.8,NA,NA,4.42124734782716,NA,83.2,NA,15.2080799026543,NA,4025178.85009678,2807360.989,58,NA,15.2835634614767,NA,4340774.99962446
"44","2","Male","45-49","HH",71311,0.407955769420616,4.09933210373314,20.2,60.3,43,0.279298773938907,15.973458166691,2108703.36757113,8653359.34147607,74880627892711.2,32048106075941.5,6170797.08,0.385162362863072,15.9848606017968,2797852.55645368,8752593.38954917,76607891042779.8,41148952653445,-0.00602774579751753,4.41521960202965,-0.5,82.7,-0.0977437533505601,15.1103361493037,-374819.585747662,3650359.26434912,2603107.695,59,-0.223201930638119,15.0603615308385,-868357.723215191,3472417.27640927
"44","3","Male","45-49","HH",74434,-0.140425512406143,3.958906591327,-7.9,52.4,39,-0.0484774573478894,15.9249807093431,-409487.218521507,8243872.12295456,67961427579627.4,-6919200313083.78,6136243.776,-0.00651892403842247,15.9783416777584,-56871.9181843549,8695721.47136481,75615571907555,-992319135224.766,-0.149726783611715,4.26549281841793,-11.5,71.2,0.166736743765032,15.2770728930687,662332.873652332,4312692.13800145,3210109.266,53,0.213890941822834,15.2742524726614,828128.393800218,4300545.67020949
"44","4","Male","45-49","HH",68612,-0.181558489225452,3.77734810210154,-8.7,43.7,30,0.0978248567526592,16.0228055660958,847219.651079132,9091091.7740337,82647949643903.1,14686522064275.8,6237579.888,-0.15930215164942,15.8190395261089,-1280543.56443698,7415177.90692783,54984863391390.6,-20630708516164.4,-0.0386590731497503,4.22683374526818,-2.7,68.5,-0.0175307059230523,15.2595421871457,-74945.6927732108,4237746.44522824,2907602.591,47,-0.0809133487839073,15.1933391238775,-334265.915298591,3966279.7549109
"45","1","Male","50-54","HH",53575,NA,4.49535531998088,NA,89.6,48,NA,16.1850699772607,NA,10692680.2575828,114333411090902,NA,5728603.448,NA,16.2284770691375,NA,11167039.2041623,124702764587297,NA,NA,4.9416424226093,NA,140,NA,15.9196135461843,NA,8199744.44237051,4393013.085,75,NA,15.6609308129699,NA,6330759.76490991
"45","2","Male","50-54","HH",57294,-0.0669223124928475,4.42843300748804,-5.8,83.8,48,0.138011137339944,16.3230811146007,1582391.95591248,12275072.2134953,150677397846525,36343986755623,7032879.874,0.155431246813965,16.3839083159514,1877867.3861252,13044906.5902875,170169587949325,45466823362028.4,0.147804051911241,5.08944647452055,22.3,162.3,-0.208914642069468,15.7106989041148,-1545942.93784997,6653801.50452054,3812229.034,93,0.195809567145401,15.8567403801153,1369313.33378097,7700073.09869089
