"year","region","gender","agegroup","CVD_deaths","cancer_deaths","resp_deaths","overall_deaths","population","CVD_mort_100k","cancer_mort_100k","resp_mort_100k","overall_mort_100k","overall_avg_cost_case","overall_N","CVD_avg_cost_case","CVD_N","cancer_avg_cost_case","cancer_N","resp_avg_cost_case","resp_N","overall_costs_100k","CVD_costs_100k","cancer_costs_100k","resp_costs_100k","overall_hospcases_100k","CVD_hospcases_100k","cancer_hospcases_100k","resp_hospcases_100k","log_overall_costs_100k","log_CVD_costs_100k","log_cancer_costs_100k","log_resp_costs_100k","log_overall_mort_100k","log_CVD_mort_100k","log_cancer_mort_100k","log_resp_mort_100k","overall_costs_sum","CVD_costs_sum","cancer_costs_sum","resp_costs_sum","id"
"2010","BW","Male","25-29",15,25,1,209,330174,4.5,7.6,0.3,63.3,2344.698,21129,3322.557,844,5362.38,671,2172.956,2224,15004550.3407294,849321.299678351,1089775.99084119,1463668.89700582,6399.35306838213,255.622792830447,203.226177712358,673.584231344685,16.523864069112,13.6521928385521,13.9014827200949,14.1964567846772,4.14788532915013,1.50407739677627,2.02814824729229,-1.20397280432594,49541124.042,2804238.108,3598156.98,4832654.144,"1930"
"2010","BW","Male","30-34",16,28,2,208,318530,5,8.8,0.6,65.3,2416.153,20928,3257.894,1083,4764.912,630,2170.192,2058,15874564.4002135,1107681.91441936,942421.297836938,1402145.83744074,6570.1817725175,339.999372115656,197.783568266725,646.092989671303,16.5802286630099,13.9177800242248,13.7562076911964,14.153514362166,4.17899203628239,1.6094379124341,2.17475172148416,-0.510825623765991,50565249.984,3528299.202,3001894.56,4466255.136,"1931"
"2010","BW","Male","35-39",36,57,5,293,347981,10.3,16.4,1.4,84.2,2559.599,25527,3295.418,1864,4799.352,1021,2094.824,2119,18776566.4427081,1765228.31763803,1408162.62726988,1275624.83468925,7335.74534241812,535.661429790707,293.40682393579,608.941292771732,16.7481201845021,14.3837905984186,14.1577963113526,14.0589466829543,4.43319492124828,2.33214389523559,2.79728133483015,0.336472236621213,65338883.673,6142659.152,4900138.392,4438932.056,"1932"
"2010","BW","Male","40-44",125,115,14,605,459726,27.2,25,3,131.6,2788.958,38932,3696.656,3920,4662.516,2059,2384.38,2571,23618353.7272201,3152071.34684573,2088226.56190862,1333455.35819162,8468.52255473913,852.681814820132,447.875473651697,559.24615966902,16.9775346680496,14.9635703651243,14.5518257287595,14.1032841448722,4.87976701889122,3.30321697330195,3.2188758248682,1.09861228866811,108579712.856,14490891.52,9600120.444,6130240.98,"1933"
"2010","BW","Male","45-49",253,252,19,1023,475593,53.2,53,4,215.1,3087.879,50840,4311.514,6863,4717.935,3553,2682.368,2811,33008847.5566293,6221689.6762568,3524615.17621159,1585417.87789139,10689.8125077535,1443.04058301951,747.067345398271,591.051592433026,17.3122861912729,15.6435520799559,15.0752818184,14.2763585759025,5.37110303627368,3.9740583963476,3.97029191355212,1.38629436111989,156987768.36,29589920.582,16762823.055,7540136.448,"1934"
"2010","BW","Male","50-54",394,576,44,1647,403084,97.8,142.9,10.9,408.6,3367.838,56889,4281.228,9864,4935.2,5982,3111.117,2789,47531764.0943327,10476732.6393506,7324122.61464112,2152629.55438569,14113.435412966,2447.13260759544,1484.05791348702,691.915332784234,17.6769087632882,16.1646674171921,15.8066839261221,14.5822007013407,6.01273668238352,4.58292457704077,4.96214508493582,2.3887627892351,191592935.982,42230032.992,29522366.4,8676905.313,"1935"
"2010","BW","Male","55-59",594,863,86,2233,334432,177.6,258,25.7,667.7,3691.584,63750,4652.587,13053,4894.411,8247,3412.246,3200,70369605.7793513,18159212.6683451,12069481.2449168,3264994.73734571,19062.1710841068,3903.03559467994,2465.97215577457,956.846234810066,18.0692719918147,16.7146885749302,16.30619061327,14.9987687088524,6.50383897086382,5.17953383055807,5.55295958492162,3.24649099190117,235338480,60730218.111,40364207.517,10919187.2,"1936"
"2010","BW","Male","60-64",780,1198,152,2881,279981,278.6,427.9,54.3,1029,3883.644,68680,4690.482,15184,4891.03,10716,3995.326,3677,95266703.783471,25437539.9359242,18719940.8102693,5247075.23081923,24530.2359802987,5423.22514742072,3827.40257374608,1313.3034027309,18.3721909244014,17.0517365911285,16.7450998671641,15.473181380439,6.93634273583405,5.62977706134571,6.05888952342277,3.99452422693989,266728669.92,71220278.688,52412277.48,14690813.702,"1937"
"2010","BW","Male","65-69",1258,1799,259,4354,273802,459.5,657,94.6,1590.2,4102.845,84543,4858.54,20170,4919.364,13722,4038.715,4820,126685277.987378,35791101.5259202,24654134.3043513,7109738.53368493,30877.4223709104,7366.63720498755,5011.65075492509,1760.39619871294,18.6572164427025,17.3932098597461,17.0204551646472,15.7769760266567,7.37161507346738,6.13013894179574,6.48768401848461,4.54965747605783,346866824.835,97996751.8,67503512.808,19466606.3,"1938"
"2010","BW","Male","70-74",2207,2564,421,6712,277390,795.6,924.3,151.8,2419.7,4107.314,108869,4942.475,27493,4608.05,16809,3936.784,6472,161202338.89686,48986432.5228018,27923397.5449728,9185214.33649375,39247.6296910487,9911.31619741159,6059.69934027903,2333.17711525289,18.8981708972173,17.7070539304448,17.1449755170285,16.0331056118511,7.79139884452405,6.67909654697982,6.82903669427073,5.02256386496153,447159167.866,135883465.175,77456712.45,25478866.048,"1939"
