"ID","year","region","gender","agegroup","population","d_log_CVD_mort_100k","d_CVD_mort_100k","d_log_CVD_costs_100k","d_CVD_costs_100k","d_lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","d_log_cancer_mort_100k","d_cancer_mort_100k","d_log_cancer_costs_100k","d_cancer_costs_100k","d_lag_log_cancer_costs_100k","d_lag_cancer_costs_100k"
"398","2013","BB","Male","65-69",56837,-0.000723850918322277,-0.399999999999977,-0.0172943855326011,-854193.573992968,0.0652984978514581,3149213.73299528,0.0130433824397205,10.1,0.0646715393241912,1974226.04206774,-0.042020461720643,-1268183.65071944
"398","2014","BB","Male","65-69",55355,-0.0359386322324005,-19.5,-0.0173713396039723,-843251.177197814,-0.0172943855326011,-854193.573992968,-0.0485015222277543,-36.9,0.0225027429677347,717434.529686954,0.0646715393241912,1974226.04206774
"398","2015","BB","Male","65-69",59029,0.038830897444547,21.1,0.0273407319673424,1333849.02273649,-0.0173713396039723,-843251.177197814,-0.000673627509474528,-0.5,-0.0669151617321369,-2086888.14913871,0.0225027429677347,717434.529686954
"398","2016","BB","Male","65-69",67320,-0.0380805691407273,-20.7,0.0861151504279505,4447678.56119765,0.0273407319673424,1333849.02273649,0.103485443444287,80.9,0.0894794930268183,2822680.93282646,-0.0669151617321369,-2086888.14913871
"398","2017","BB","Male","65-69",74947,0.0424033424427313,23.1,0.0160223508536035,870621.529072151,0.0861151504279505,4447678.56119765,-0.131086594402979,-101.1,0.0120351862698591,399293.711442612,0.0894794930268183,2822680.93282646
"399","2007","BB","Male","70-74",65333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","2008","BB","Male","70-74",70295,-0.18956688804222,-221.5,0.0554423912466753,3431539.5524647,NA,NA,-0.0961898500258451,-111.6,-0.0594409829044444,-2138472.89397935,NA,NA
"399","2009","BB","Male","70-74",74897,0.0152431997143179,16.3,0.0070743229389798,451702.560812503,0.0554423912466753,3431539.5524647,-0.0417535480378577,-45.2,-0.0164115901671344,-568379.222429842,-0.0594409829044444,-2138472.89397935
"399","2010","BB","Male","70-74",78315,-0.0226205149286134,-24.0999999999999,0.0281686790220022,1830629.79206815,0.0070743229389798,451702.560812503,-0.000283032220390389,-0.299999999999955,0.0479760753625378,1688119.41753206,-0.0164115901671344,-568379.222429842
"399","2011","BB","Male","70-74",80471,-0.084442919323263,-85.3000000000001,-0.0260351012827407,-1693770.34220407,0.0281686790220022,1830629.79206815,0.031394795351078,33.8,0.0252353837359074,920992.09060663,0.0479760753625378,1688119.41753206
"399","2012","BB","Male","70-74",81116,0.00853695079277905,8.29999999999995,-0.0329464252580145,-2081149.37564369,-0.0260351012827407,-1693770.34220407,-0.0229384826273584,-24.8,-0.0614651634114196,-2203254.5215411,0.0252353837359074,920992.09060663
"399","2013","BB","Male","70-74",79591,-0.136520581029692,-124.6,0.00799719372907859,498880.384840004,-0.0329464252580145,-2081149.37564369,-0.0173654797937948,-18.3999999999999,0.0170493116153239,597633.035336457,-0.0614651634114196,-2203254.5215411
"399","2014","BB","Male","70-74",76631,0.0482421546046936,42.1,0.0540956772244208,3481420.35980967,0.00799719372907859,498880.384840004,0.0294552764487399,31.3999999999999,0.0417973480812712,1508972.12781698,0.0170493116153239,597633.035336457
"399","2015","BB","Male","70-74",70040,-0.120527597269411,-101.5,0.0501286457021237,3398634.15075953,0.0540956772244208,3481420.35980967,0.0303177665339902,33.3,0.0626052619641442,2381515.2944809,0.0417973480812712,1508972.12781698
"399","2016","BB","Male","70-74",60519,0.135296618149091,114.8,-0.013740019323329,-948561.347425863,0.0501286457021237,3398634.15075953,-0.0237760746193008,-26.1999999999998,0.0182443102018759,722539.091053307,0.0626052619641442,2381515.2944809
"399","2017","BB","Male","70-74",53997,-0.165792254842744,-138.6,0.02927606808991,2036932.00561343,-0.013740019323329,-948561.347425863,-0.0327653335768305,-35.1000000000001,-0.0129294634109627,-513411.40069066,0.0182443102018759,722539.091053307
"400","2007","BB","Male","75-79",39626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","2008","BB","Male","75-79",41128,0.0247415749606708,57.4000000000001,0.0315015171071273,2503859.64324374,NA,NA,-0.11144003203462,-182.3,-0.0297957628977734,-1122401.03410134,NA,NA
"400","2009","BB","Male","75-79",43230,-0.0975478654802293,-218.3,0.0705499122148758,5902109.74920812,0.0315015171071273,2503859.64324374,0.115020125938161,188.5,-0.0179347879640233,-659652.166618235,-0.0297957628977734,-1122401.03410134
"400","2010","BB","Male","75-79",46639,-0.0417416067826437,-87.0999999999999,-0.0165336770929834,-1420772.73547913,0.0705499122148758,5902109.74920812,-0.0933983535436491,-154.7,0.0341079008831997,1264739.0165123,-0.0179347879640233,-659652.166618235
"400","2011","BB","Male","75-79",49861,-0.037851385865765,-75.9000000000001,0.0238839385522773,2059977.95576102,-0.0165336770929834,-1420772.73547913,0.0202343483812948,32.3,-0.00142856517127044,-53842.0014252067,0.0341079008831997,1264739.0165123
"400","2012","BB","Male","75-79",53682,-0.064718122186517,-123.3,-0.0202779327604148,-1752106.33118401,0.0238839385522773,2059977.95576102,0.0378482750705054,62.2,0.0229736521525403,875264.165871866,-0.00142856517127044,-53842.0014252067
"400","2013","BB","Male","75-79",57997,-0.0270962690409453,-49.3,0.0046847814706652,401636.398602247,-0.0202779327604148,-1752106.33118401,-0.121701852463856,-191.9,-0.064767146139765,-2416878.84476835,0.0229736521525403,875264.165871866
"400","2014","BB","Male","75-79",62101,-0.12266288198063,-207.2,0.063422452191876,5626631.10598136,0.0046847814706652,401636.398602247,0.00235761787827204,3.5,0.103729900619022,3948057.96722324,-0.064767146139765,-2416878.84476835
"400","2015","BB","Male","75-79",65182,0.0324098137347777,52.3,-0.0272819718042321,-2464164.2782525,0.063422452191876,5626631.10598136,0.0246548687838386,37.1000000000001,0.0265289854596986,1077218.00626624,0.103729900619022,3948057.96722324
"400","2016","BB","Male","75-79",67802,-0.0755912480239074,-119.4,0.00846741736526013,757612.565330595,-0.0272819718042321,-2464164.2782525,-0.0505542241318775,-75.1000000000001,-0.0730772565995821,-2899621.19109517,0.0265289854596986,1077218.00626624
"400","2017","BB","Male","75-79",68570,0.012742355570083,19.5,0.0103278003513942,932794.546459123,0.00846741736526013,757612.565330595,-0.0507011237379125,-71.5999999999999,0.0965875107327854,3878442.54565136,-0.0730772565995821,-2899621.19109517
"401","2007","BB","Male","80-84",17263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","2008","BB","Male","80-84",19355,0.0201543890398561,86.8000000000002,0.0532307670346448,4514341.97058938,NA,NA,-0.0767809249076992,-167.4,-0.0939978598824673,-3142254.16884468,NA,NA
"401","2009","BB","Male","80-84",21947,-0.0198495217134074,-85.5,0.0707207227249285,6381655.73069769,0.0532307670346448,4514341.97058938,-0.0183305991333,-38.0999999999999,-0.0206250271279593,-650842.124501407,-0.0939978598824673,-3142254.16884468
"401","2010","BB","Male","80-84",24595,-0.103283639281788,-418.5,0.0139058942685608,1308805.28517458,0.0707207227249285,6381655.73069769,0.0433766310593873,91.3000000000002,0.0937762104361006,3070504.97094549,-0.0206250271279593,-650842.124501407
"401","2011","BB","Male","80-84",26731,-0.0428682590136056,-161.4,-0.00802066801497858,-757115.754632622,0.0139058942685608,1308805.28517458,-0.0191993129534405,-40.9000000000001,0.0230753457804376,800736.91684334,0.0937762104361006,3070504.97094549
"401","2012","BB","Male","80-84",28438,0.033858130287383,126.9,0.0768897416119572,7514164.28283207,-0.00802066801497858,-757115.754632622,0.0230509151997857,49.1999999999998,-0.0471450436681167,-1616521.89748414,0.0230753457804376,800736.91684334
