"ID","year","gender","agegroup","region","population","d_log_CVD_mort_100k","d_CVD_mort_100k","CVD_mort_100k","CVD_deaths","d_log_CVD_costs_100k","d_CVD_costs_100k","CVD_costs_100k","CVD_costs_sum","d_lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","d_log_cancer_mort_100k","d_cancer_mort_100k","cancer_deaths","d_log_cancer_costs_100k","d_cancer_costs_100k","cancer_costs_sum","d_lag_log_cancer_costs_100k","d_lag_cancer_costs_100k"
"19","2016","Male","2","NI",496649,0.502688899152049,1.35239713343064,3.42294054754968,17,-0.0619691020289874,-55109.6490977886,862038.24733363,4281304.335,0.00594896026627545,5439.87953739869,0.210471671534877,1.26111877441635,33,0.0550147270144006,56086.8189012943,5203828.086,-0.191353582016863,-209137.384226927
"19","2017","Male","2","NI",496139,-0.0595972120474575,-0.198037848910789,3.22490269863889,16,0.0519132469988097,45933.1588650362,907971.406198666,4504800.255,-0.0619691020289874,-55109.6490977886,-0.359985935768353,-2.00873402183244,23,-0.0383802280427084,-39452.3993785181,5002745.628,0.0550147270144006,56086.8189012943
"20","2007","Male","2","HB",43873,NA,NA,0,0,NA,NA,899436.95667039,394609.976,NA,NA,NA,NA,4,NA,NA,304490.946,NA,NA
"20","2008","Male","2","HB",44304,Inf,6.77139761646804,6.77139761646804,3,-0.732826145358592,-467213.455406395,432223.501263994,191492.3,NA,NA,-Inf,-9.11722471679621,0,0.452893680262457,397578.818869002,483625.527,NA,NA
"20","2009","Male","2","HB",44875,-1.11141816904795,-4.54298536020063,2.22841225626741,1,0.557941224366697,322902.060852997,755125.562116992,338862.596,-0.732826145358592,-467213.455406395,NaN,0,0,-0.25539480110506,-246036.604961869,379449.676,0.452893680262457,397578.818869002
"20","2010","Male","2","HB",45254,0.684736963339252,2.1910865725654,4.41949882883281,2,-0.247188554428559,-165377.466920987,589748.095196005,266884.603,0.557941224366697,322902.060852997,Inf,8.83899765766562,4,0.203871989729581,191218.271379929,469188.304,-0.25539480110506,-246036.604961869
"20","2011","Male","2","HB",45474,-Inf,-4.41949882883281,0,0,-0.0925824336019385,-52149.0275969371,537599.067599068,244467.8,-0.247188554428559,-165377.466920987,-0.00484967002881076,-0.0427624463360701,4,-0.094277198950687,-93279.383551113,429051.372,0.203871989729581,191218.271379929
"20","2012","Male","2","HB",45638,NaN,0,0,0,-0.0656474414480073,-34158.5268216452,503440.540777422,229760.194,-0.0925824336019385,-52149.0275969371,-1.38989432988618,-6.60507871893286,1,0.210633233118829,221214.706862262,531556.695,-0.094277198950687,-93279.383551113
"20","2013","Male","2","HB",46152,Inf,4.33350667360028,4.33350667360028,2,0.37109361945752,226205.275221884,729645.815999307,336746.137,-0.0656474414480073,-34158.5268216452,0.681947586429589,2.14235018120359,2,0.224548945301779,293228.534271328,672874.209,0.210633233118829,221214.706862262
"20","2014","Male","2","HB",46723,-0.705443432392572,-2.19323314664353,2.14027352695674,1,-0.222603069858934,-145613.589900811,584032.226098495,272877.377,0.37109361945752,226205.275221884,0.680850928727318,4.2275874342267,4,-0.110652684749523,-152721.059047325,609843.257,0.224548945301779,293228.534271328
